structure,reference_ga_atom_number,defect_ga_atom_number,ga_initial_distance_to_vacancy_A,reference_oxygen_atom_number,bond_status,pristine_bond_length_A,vacancy_bond_length_A,bond_length_change_A,pristine_coordination_number,vacancy_coordination_number,ga_o_bond_cutoff_A
vacancy_O1,29,29,1.8437517434761168,33,lost,1.8473400367057802,,,4,3,2.5
vacancy_O1,29,29,1.8437517434761168,37,preserved,1.8472974645659896,1.9319899328435894,0.0846924682775998,4,3,2.5
vacancy_O1,29,29,1.8437517434761168,61,preserved,1.8734208236147745,1.9270533084639339,0.05363248484915939,4,3,2.5
vacancy_O1,29,29,1.8437517434761168,71,preserved,1.8412706038748243,1.8840319159235488,0.042761312048724465,4,3,2.5
vacancy_O1,25,25,1.8437566060950679,33,lost,1.8472977408349611,,,4,3,2.5
vacancy_O1,25,25,1.8437566060950679,37,preserved,1.8473420839946448,1.9312410476825368,0.08389896368789196,4,3,2.5
vacancy_O1,25,25,1.8437566060950679,57,preserved,1.8734252775454732,1.9269486007584888,0.05352332321301567,4,3,2.5
vacancy_O1,25,25,1.8437566060950679,67,preserved,1.8412701533702382,1.8837520288522374,0.04248187548199911,4,3,2.5
vacancy_O1,2,2,1.9415218622702992,33,lost,1.9448267917466926,,,6,5,2.5
vacancy_O1,2,2,1.9415218622702992,50,preserved,2.0753586983781562,2.0433589037944233,-0.03199979458373292,6,5,2.5
vacancy_O1,2,2,1.9415218622702992,54,preserved,2.0769836071243204,2.0437698898396683,-0.033213717284652056,6,5,2.5
vacancy_O1,2,2,1.9415218622702992,58,preserved,2.0197229789720668,1.9732962194620587,-0.046426759510008075,6,5,2.5
vacancy_O1,2,2,1.9415218622702992,74,preserved,1.9535446942011234,1.9221723101745645,-0.03137238402655895,6,5,2.5
vacancy_O1,2,2,1.9415218622702992,78,preserved,1.9532209226082538,1.9225173784082936,-0.03070354419996013,6,5,2.5
