structure,coordination_type,reference_ga_atom_number,defect_ga_atom_number,system,orbital,energy_minus_fermi_eV,pdos_states_per_eV
vacancy_O1,tetrahedral,29,29,pristine,s,-20.86395477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.846954770000004,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.82995477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.812954769999997,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.79595477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.77895477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.761954770000003,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.74495477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.727954770000004,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.71095477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.693954769999998,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.676954770000002,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.65995477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.642954770000003,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.62595477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.60885477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.591854769999998,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.57485477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.55785477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.540854770000003,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.52385477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.506854770000004,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.48985477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.472854769999998,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.455854770000002,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.43885477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.421854770000003,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.40485477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.387854769999997,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.37085477,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.353854769999998,0.0
vacancy_O1,tetrahedral,29,29,pristine,s,-20.336854770000002,0.0
